Tianguis,,,,
Unidad,Nombre Unidad,Zona Coplademun,Ubicación,Días
1,12 de diciembre,7,- Inexistente -,
3,"Abetos, Los",1B,Inexistente,
6,"Agrícola, La",8,Hortencia entre Camino a Santa Ana y Tulipán,Sábado
6,"Agrícola, La",8,Gladiola entre Obelisco y Jazmín,Miércoles
7,Agua Blanca Poblado,8,Guadalupe Gallo entre H. y Cairo y Privada 5 de Mayo,Domingo
9,Agua Blanca Sur,8,Av. Guadalupe Gallo,Domingos
10,Agua Fría,2A,-Inexistente-,
11,"Águilas, Las",6,Montemorelos entre Proongacion Navio y Cruz del sur,Miércoles
12,"Agujas, Las",RS,-Inexistente-,
13,Alameda de Tesistán,2A,Jardines de los Jazmines,Sábado
14,"Alameda, La",6,- Inexistente -,
15,"Alamitos, Los",3,Inexistente,
16,Altagracia,3,Av. Ind. Textil entre Agave y Torre Vieja,Lunes
19,Arboledas,6,- Inexistente -,
20,Arcos de Guadalupe,5A,- Inexistente -,
21,Arcos de Zapopan,3,A. Valentino y A. Constantino,Miércoles
21,Arcos de Zapopan,3,Arco Pertinax entre Arco del Triunfo y Arco Druso,Viernes
22,Arenales Tapatíos ,7,Mica entre Mercurio y Arroyo,Martes
22,Arenales Tapatíos ,7,Cobre entre Mercurio y Platino,Sábado
23,Arroyo Hondo 1ra. Sección,2A,Prolongación Federalismo,Miércoles
24,Arroyo Hondo 2da. Sección,2B,-Inexistente-,
25,Atemajac del Valle,1B,"Granaditos, (Experiencia), entre Cuitlahuac y E. Zapata",Viernes
28,"Aurora, La",1B,-Inexistente-,
29,Aves del Paraíso,1A,-Inexistente-,
30,Azaleas Residencial,8,Inexistente,
31,"Bajío, El",RS,- Inexistente -,
32,Balcones de la Cantera,2A,Cantera Blanca entre Brillante y Plata.,Lunes
34,Balcones del Sol (ó Balcones del Colli),7,"Lima, entre Mezquite y Galeana",Lunes
36,"Batán, El",1B,Francisco I. Madero entre Occidental y Experiencia,Domingo
38,Benito Juárez,2B,Javier Rojo Gomez entre Carretera a Saltillo y Zapotlan,Martes
39,Benito Juárez Auditorio,2A,-Inexistente-,
40,"Borrego, El",5-A,Inexistente,
41,"Bóvedas, Las",4,Azaleas entre Santa Margarita y San Marcos                       ,Jueves
44,Bosques del Centinela Ejidal,1B,- Inexistente -,
46,"Briseño, El",8,Santa Ana entre Colonos Unidos y Lopez Portillo,Viernes
46,"Briseño, El",8,Av. Las Torres entre Colonos Unidos y Santo Tomas,Domingo
47,Bugambilias,8,Inexistente,
48,"Cabañitas, Las",1B,-Inexistente-,
49,"Cajetes, Los",8,Av. Las Torres entre San Francisco y San Jose,Lunes
50,Callejón del Parque,5B,- Inexistente -,
52,"Camichín, El",8,- Inexistente -,
54,Camino Real,5A,- Inexistente -,
55,"Campanario, El",8,San Isidro entre San Jose y Javier ,Martes
56,Campestre Las Palomas,RS,- Inexistente -,
58,"Canteros, Los",2B,-Inexistente-,
61,Carlos Rivera Aceves,7,"Cobre, entre Centenario y Mercurio.",Sábado
62,"Carrizal, El",1B,- Inexistente -,
64,"Centinela, El (ó Colinas del Centinela)",3,Calle Las Misiones,Domingo
65,Centro (Cabecera),1A,"Tianguis navideño, en diciembre, por Eva Briseño.",Época navideña
66,"Cerritos, Los",RN,-Inexistente-,
67,Cerro de la Higuera,2B,-Inexistente-,
68,Chapalita de Occidente,5A,-Inexistente-,
69,Chapalita Las Fuentes,5A,- Inexistente -,
70,Chapalita Oriente,5A,- Inexistente -,
72,Chapalita Sur,6,- Inexistente -,
75,"Ciudad de los Niños, Fraccionamiento",5A,- Inexistente -,
78,Ciudad Granja,5B,Calzada de los Paraísos entre C. De las Palmas y C. Laureles,Lunes
78,Ciudad Granja,5B,Cincurvalación Pte. entre C. Del Fresno y Paraísos,Jueves
80,Colegio del Aire,4,- Inexistente -,
81,Colinas de Atemajac,1B,-Inexistente-,
83,Colinas de la Primavera,7,Jacarandas,Jueves
85,Colinas de los Robles,3,Ahuehuetes,Viernes
87,Colinas de Tabachines,1B,-Inexistente-,
90,Colinas del Río Blanco,3,- Inexistente -,
91,Colli CTM,6,"Av. El Colli, de Cordilleras a Av. Copèrnico",Sabado
91,Colli CTM,6,"Fuera de la Explanada del Centro Social, por Felipe Carrillo Puerto y Andador sin Nombre",Martes
93,Colli Primavera,7,- Inexistente -,
95,Colli Poblado (ó Colli Ejidal),6,Volcán Fujiyama,Martes
96,Colli Sitio,5A,Inexistente,
97,Colli Urbano ,6,Volcan Fujiyama entre Iturbide y Vol. Ajusco,Martes
97,Colli Urbano ,6,El Colli entre Copernico y Vol. Cotopaxi,Sábado
103,Conjunto Laureles,1B,-Inexistente-,
105,Conjunto Ritz,1B,-Inexistente-,
106,Conjunto San Gilberto,1B,-Inexistente-,
107,Conjunto Zapopan,1B,Inexistente,
108,Constitución,1B,Constituyentes entre Manuel M. Dieguez y Gral. Aguirre,Domingo
108,Constitución,1B,Obreros de Cananea entre Gral. J. Aguirre y G. Marquez,Domingo
108,Constitución,1B,Constituyentes entre Manuel M. Dieguez y Gral. Aguirre,Jueves
109,Constituyentes,1B,Paseo de las Caobas,Viernes
110,Copala,RN,Calle López Mateos,Viernes
111,Copalita Poblado,RS,Calle San Pedro S/N,
112,"Coronilla, La",2B,Ramon Lopez Velarde,Jueves
113,Coronilla del Ocote,RS,- Inexistente -,
115,División Del Norte,2A,-Inexistente-,
117,Don Bosco Vallarta,5A,Inexistente,
118,Ecológica Seattle,1B,-Inexistente-,
120,Ejido Zapopan,?,-Inexistente-,
121,Emiliano Zapata,2A,Venustiano Carranza entre A. Obregon y Tabachines,Domingo
121,Emiliano Zapata,2A,Curtidores entre Carpinteros y Campesinos,Jueves
124,Eucalipto Vallarta,5A,- Inexistente -,
125,Exitmex,5A,- Inexistente -,
126,Exhacienda del Lazo,RN,- Inexistente -,
127,"Experiencia, la",2B,Ma. Teresa Campirano entre Imperio y A. Serdan y Por A. Serdan entre Jesús Martínez Y Lazaro Cárdenas.,Sábado
128,"Flores, Las",5A,- Inexistente -,
129,"Floresta del Colli, La",7,Calle Bugambilias y Amapola,Miércoles
130,"Florida, La",8,- Inexistente -,
133,"Bosques del Centinela, Fraccionamiento",2A,- Inexistente -,
134,"Cristal, Fraccionamiento",8,Inexistente,
136,"Los Paraísos, Fraccionamiento",1B,-Inexistente-,
137,Francisco Sarabia,8,"Francisco Villa entre Hernan Cortes, Allende y Carretera a Santa Ana",Jueves
140,"Fresno, El",4,- Inexistente -,
141,"Fuentes, Las",6,"- Inexistente -
",
142,"Garabato, El",8,Prolongación José López Portillo y Tepeyac,Miércoles
143,"Giralda, la",6,- Inexistente -,
144,Girasoles,4,Santa Lucrecia de Santa Mercedes a Av. Acueducto,Lunes
146,"Gloria, La",5A,- Inexistente -,
147,González Ortega,1B,-Inexistente-,
148,"Grana, La",3,- Inexistente -,
149,Guadalajarita (ó Club Atlas),1A,Inexistente,
150,Guadalupe Jardín,5A,- Inexistente -,
151,"Guayabos, Comunidad Ecológica, Los",2A,- Inexistente -,
152,Gusa,1B,Aldama hasta la glorieta por calle la Gusa,Domingo y Jueves
153,Haciendas de las Lomas,5B,- Inexistente -,
154,Hacienda de Tepeyac I,6,- Inexistente -,
155,Hacienda de Tepeyac II,6,- Inexistente -,
156,Hacienda la Mora,4,Azaleas entre Santa Margarita y San Marcos,Jueves
159,"Haciendita, La",8,- Inexistente -,
160,Heroes Nacionales,4,- Inexistente -,
161,"Higuera, La",2B,-Inexistente-,
162,Hogares de Atemajac,2A,-Inexistente-,
163,Hogares,2B,Arandas y Zapotlán,Sábado
163,Hogares,2B,Lázaro Cárdenas y Zapotlán,Martes
165,Hogares del Batán,1B,-Inexistente-,
168,"Huerta, La",1B,"Constituyentes, entre Alfonso Gravioto y Pablo Quiroga.",Jueves y Domingo
169,"Húmedo de Nextipac, El",RS,Río Amazonas,Viernes
170,Indígena de Mezquitán ,2B,Niños Heroes y Josefa Ortiz de Dominguez,Miércoles
171,Indígena de San Juan Ocotán,4,- Inexistente -,
175,Ixcatán Poblado,RN,"Por Vicente Guerrero, en la plaza",Miércoles
178,Jardines de San Ignacio,5A,Glorieta Chapalita,Domingos
180,Jardines Tapatíos,7,- Inexistente -,
182,Jardines del Ixtépete,8,Prolongación Tepeyac entre Padros del Ixtepete y Cerrada Prolongación Tepeyac,Miércoles
185,Jardines de Guadalupe,5A,"Inexistente
",
186,Jardines de la Esperanza,2A,Inexistente,
187,Jardines de la Patria,5B,Inglaterra entre Giovanni Pappini y Shakespeare,Lunes
189,Jardines de los Belenes,2B,-Inexistente-,
191,Jardines de Nuevo México,4,1a Poniente entre 4a Norte y 8a Sur,Domingo
191,Jardines de Nuevo México,4,3a Oriente entre Tesistán y 8a Sur,Sábado
194,Jardines de Tabachines,2A,-Inexistente-,
195,Jardines del Auditorio,2A,Mariano Barcenas entre Luis Quintero y M Hndez.,Viernes
196,Jardines del Porvenir,2A,-Inexistente-,
197,Jardines del Sol,6,Inexistente,
198,Jardines del Valle,4,Inexistente,
199,Jardines del Vergel ,2A,-Inexistente-,
202,Jardines Vallarta,5B,Av. Inglaterra entre Gabriel García Marquez y Juan Palomar y Arias,Viernes
205,Juan Manuel Vallarta,7,Av. Inglaterra entre Libra y Escorpion,Martes
206,Lagos del Country,1B,-Inexistente-,
209,Loma Bonita,6,Inexistente,
210,Loma Bonita Ejidal,6,Av. Tabachines entre Río Tuxpan y Av. Patria,Domingo
211,Loma Bonita Residencial,6,Inexistente,
212,Loma Bonita Sur,6,Inexistente,
213,Loma Real,5B,Inexistente,
214,"Loma, La",1B,Inexistente,
215,Lomas Altas,5B,Inexistente,
216,Lomas de Atemajac,1B,-Inexistente-,
217,Lomas de Guadalupe,5A,Inexistente,
218,Lomas de la Primavera,7,Flor de Castilla,Jueves
220,Lomas de Tabachines ,2A,"Granados, entre Higuerillas y Duraznos",Domingo
221,Lomas de Zapopan,3,Arco Pertinax entre A. Triunfo y A. Drusco.,Viernes
222,Lomas del Batán,1B,Francisco I Madero entre Occidental y Experiencia,Domingo
223,Lomas del Bosque,1A,Inexistente,
224,Lomas del Camino,1B,-Inexistente-,
225,Lomas del Centinela,2A,-Inexistente-,
226,Lomas del Colli ,5A,- Inexistente -,
228,Lomas del Refugio,2B,"Chapala, de Teocaltiche a Lagos de Moreno",Sábado
229,Lomas del Seminario Norte,5A,Inexistente,
232,Lomas Universidad,5A,Av. Novelistas entre Mabuse y Gabrielle D' Anunzio,Miercoles
233,"Maestros, Los",1B,-Inexistente-,
234,"Magdalena, La",RS,- Inexistente -,
235,"Mante, El",8,,Lunes de las 6:00 am a las 4:00 pm
235,"Mante, El",8,Calle Michoacan y Av. Jalisco,Lunes 
236,Marcelino García Barragán,3,- Inexistente -,
237,Mariano Otero,7,Lateral Mariano Otero entre Cuarzo y Sienita,Viernes
238,"Martinica, La",2A,Hidalgo entre Francisco I.Madero y Morelos,Sábado
239,Mesa Colorada ,RN,Piña entre Toronja y Barranco,Domingo
239,Mesa Colorada ,RN,Vista hermosa entre Vista Campestre y Buena Vista,Martes
240,Mesa Colorada Poniente,2B,A. Indigena y Calle Delli,Jueves
241,Mesa de los Ocotes,2B,Jitomate entre Tomate y Frijol,Lunes
241,Mesa de los Ocotes,2B,Paseo de los Guayabos y Paseo de los Ocotes,Miércoles
242,Mezquitán,2B,-Inexistente-,
244,Miguel Hidalgo,2B,Piedras Negras,Jueves
245,Milpillas Mesa de San Juan,RS,Inexistente,
248,Mirador del Sol,6,Inexistente,
249,Mirador Escondido,2B,-Inexistente-,
250,Miramar,7,Puerto Batabampo entre Puerto Guaymas y Puerto Tampico,Miércoles
250,Miramar,7,Puerto Mazatlán entre Puerto Guaymas y Arenales,Domingo
251,Misión Jardines,4,Inexistente,
252,Misión de San Isidro (ó Misión del Bosque),3,Inexistente,
254,Molino del Salvador,2B,-Inexistente-,
255,Nextipac,RS,Juárez,Jueves
257,Nueva España,2B,-Inexistente-,
258,Nueva Primavera (ó Colli Nueva Primavera),6,- Inexistente -,
259,Nuevo México,4,"Tercera Oriente, entre Carretera a Tesistán y Octava Sur",Sábado
260,Nuevo Vergel,2A,Curtidores entre Carpinteros y Campesinos,Jueves
261,Palmira,8,Av. Palmira,Lunes
262,"Palmita, La",1B,Desde Encarnacion Ortiz hasta Natividad Macias,Domingo
263,Palo Gordo,RS,- Inexistente -,
266,Paraísos del Colli,7,Jacarandas entre El Colli y Av. Patria,Domingo
266,Paraísos del Colli,7,Nogal entre Prolongacion Tepeyac y Vol. Quinceo,Jueves
267,Paraíso Los Pinos,8,Inexistente,
268,Parque Industrial Belenes Norte,1A,Inexistente,
269,Parques de la Castellana,5B,Inexistente,
270,Parque Regency,5B,Inexistente,
271,Parques de Tesistán,RS,-Inexistente-,
273,Parques del Auditorio,2A,Prol. Federalismo Nte. entre Tratado de Tlalteloco y Gtez. Gallo,Miércoles
274,Paseos del Briseño,8,- Inexistente -,
275,Paseos del Sol ,6,Lateral Periferico y Peñorada,Lunes
277,Paso de Guadalupe (ó El Morado),RN,Inexistente,
282,Pedregal de Zapopan,2B,-Inexistente-,
283,Pedro Moreno,1B,Obreros de Cananea entre Gral. J. Aguirre y G. Marquez,Domingo
285,Pinar de la Calma,6,Inexistente,
287,"Pinos Campestre, Los",8,Inexistente,
289,Pirámides,6,Inexistente,
291,Praderas de San Antonio,4,- Inexistente -,
293,Prados de Santa Lucia ,RS,"Chapultepec, ente Vicente Suarez y Juan Escutia",Lunes
295,Prados Tepeyac,6,Inexistente,
296,Prados Vallarta,5A,Santa Catalina de Siena entre Santa Rosa de Lima y L. Cardenas,Jueves
297,"Primavera, La",RS,"Leona Vicario, entre Av. La Paz e Ignacio Allende",Lunes
298,Primavera Norte,6,- Inexistente -,
301,Puerta del Sol,5B,Inexistente,
303,Rancho El Centinela,3,Inexistente,
304,Rancho el Sol (ó Placita del Sol),3,- Inexistente -,
308,Real Vallarta,5A,Ninguno,
309,"Rehilete, El",7,Inexistente,
310,Residencial Arboledas,6,Inexistente,
311,Residencial Ciudad de los Niños,5A,Inexistente,
312,Residencial Cordilleras,5A,H. Berlioz entre Av. Patria y George Haendel,Martes
314,Residencial del Bosque,8,Inexistente,
315,Residencial Guadalupe,5A,Inexistente,
318,Residencial Moctezuma,6,Av. Copernico y Av. Moctezuma.,Miércoles
319,Residencial Moctezuma Poniente,6,- Inexistente -,
322,Residencial Plaza Guadalupe,5A,Av. Moctezuma,"Miércoles, Viernes y Domingo"
324,Residencial Victoria,6,Inexistente,
325,Rinconada del Auditorio,2A,Mariano Barcenas,Viernes
327,Rinconada Del Iris,8,Inexistente,
329,Rinconada del Sol,6,Inexistente,
330,Rinconada La Azalea,1B,-Inexistente-,
331,Rinconada del Valle,5A,Inexistente,
332,Rinconada de la Calma,6,Inexistente,
333,Rinconada de la Joya,6,Inexistente,
337,Río Blanco,RN,- Inexistente -,
338,Roberto Orozco,RS,- Inexistente -,
339,"Robles, Los",3,- Inexistente -,
340,"Rodeo, El",RS,Inexistente,
341,Royal Country,5B,Inexistente,
342,San Bernardo,5B,Inexistente,
343,San Esteban,RN,Calle Juárez e Hidalgo,Domingo y martes
345,San Isidro Ejidal,1A,Cuitlahuac entre Colon y Av. del Corral,Viernes
345,San Isidro Ejidal,1A,Francisco Sarabia entre Libertad y Lucio Blanco,Lunes
346,San Isidro Poblado,RN,Inexistente,
347,San José del Bajio,1A,Plata entre Santa Margarita y L. Cardenas,Domingo
349,San Juan de Ocotán,4,Av. 16 de Septiembre entre Ocampo y 5 de Mayo.,Domingo
349,San Juan de Ocotán,4,Juárez entre Independencia y Venustiano Carranza,Miércoles
350,San Lorenzo,RN,Inexistente,
353,San Miguel Tateposco,RN,Inexistente,
354,San Nicolás de los Belenes,2A,-Inexistente-,
356,Santa Ana Tepetitlán,8,Emiliano Zapata entre Santa Ana Tepetitlán y Zaragoza.,Domingo
357,Santa Catalina,6,Inexistente,
360,Santa Lucía,RS,Morelos entre M.M. Dieguez y Corregidora,Domingo
361,Santa Margarita 1ra. Sección,1A,Santa Ana  entre Torres y Santa Cecilia.,Martes
362,Santa Margarita 2da Sección,4,Santa Lucrecia entre Santa Mercedes y Santa Monica,Lunes
362,Santa Margarita 2da Sección,4,Santa Ana entre Santa Mrgarita y Santa Alicia,Martes
364,Santa Maria del Pueblito,5A,Guadalupe Victoria,Martes
365,Santa Mónica de los Chorritos,RS,Chapultepec entre Hidalgo y 16 de septiembre.,Lunes
366,Santa Paula,1B,Constituyentes hasta la glorieta por la calle Gusa.,Domingo y Jueves
367,Seattle,1B,-Inexistente-,
368,Seattle  Habitacional ,1B,-Inexistente-,
369,"Soledad de Nextipac, La",RS,- Inexistente -,
370,Tabachines,2A,Paseo de las Galateas entre Paseo de los Bambues y Paseo de los Granados,Martes
370,Tabachines,2A,"Paseo de las Caobas entre Paseo de los Huejotes , Frambuesos y Tabachines",Viernes
371,Tepeyac,1B,Morelos entre Aurelio Ortega y Laureles,Martes
372,Tepeyac Casino,5A,Inexistente,
373,Tesistán,RS,Libertad entre San Francisco y Melchor Ocampo,Miércoles
374,"Tigre I, El",3,- Inexistente -,
375,"Tigre II, El",3,- Inexistente -,
376,"Triángulo, El",4,- Inexistente -,
377,"Tuzanía , La",4,Av. Tuzania entre Palmeras y Ajonjoli,Sábado
378,Tuzanía Ejidal,4,Inexistente,
379,Unidad Auditorio,2A,"Federalismo y Club Atlas, de 7:00 a 16:00 hrs.",Miercóles
380,Unidad Cadete Francisco Marquez,6,- Inexistente -,
381,Unidad Gustavo Díaz Ordaz,6,Av. Las Fuentes entre Tuxtla y S. Mazamitla.,Martes
384,Unidad Patria,1B,-Inexistente-,
388,Valle de Atemajac,2A,Inexistente,
392,Valle Escondido,4,Inexistente,
394,Venta del Astillero,RS,E. Zapata entre M. García y J. Gil Preciado.,Lunes
395,Venustiano Carranza,1B,-Inexistente-,
396,"Vicente Guerrero (ampliación Vicente Guerrero, Rincón)",3,Inexistente,
398,Víctor Hugo,1B,Calle Victoriano Núñez,Martes
399,"Vigía, El",1B,Cuitlahuac entre Colon y Av. del Corral,Viernes
400,Vigusa (La Vidriera),5B,Av. Inglaterrra entre Av. México y Sagitario,Martes
402,Villa de los Belenes,1B,-Inexistente-,
404,Villa Puerta del Sol,6,Inexistente,
406,"Villa, La",1A,Cuitlahuac entre Colon y Av. del Corral,Viernes
407,Villas Alcalde,1B,-Inexistente-,
408,Villas de Guadalupe,2B,San Raymundo entre San Pedro y San Julian,Domingo
409,Villas del Marquez (Villas del Parque),2A,-Inexistente-,
411,Villas La Loma,3,- Inexistente -,
414,Villas de Tepeyac,6,- Inexistente -,
418,Vista Hermosa,2B,Vista Hermosa entre Vista Campestre y Buena Vista,Martes
419,Vista del Sol,8,Inexistente,
420,Volcán del Colli,5A,Inexistente,
421,"Zapote, El   ",6,Tajin entre Xochitl y Sayil,Jueves
422,Zoquipan,1B,-Inexistente-,
426,"Noria, La",,- Inexistente -,
427,Quinta Federalismo,,- Inexistente -,
429,Mesón de Copala,,- Inexistente -,
430,Villas de Nuevo México,,Entronque de 1 de mayo y Albuquerque,Sábado
431,"Soledad de Ixcatán, La",,- Inexistente -,
432,Jardines de San Gonzalo,,- Inexistente -,
433,Misión Capistrano,,- Inexistente -,
434,Fuentecillas,,- Inexistente -,
435,"Golondrinas, Las",,- Inexistente -,
439,"Joyitas, Las",,Inexistente,
440,Vistas de Tesistán,,Inexistente,
441,Praderas de Tesistán,,Inexistente,
442,Hacienda Las Palomas,,Inexistente,
443,Ampliación Santa Lucía,RS,- Inexistente -,
446,Revolución,RS,-Inexistente-,
447,"Mirasoles, Los",,-Inexistente-,
448,"Providencia, La",,-Inexistente-,
449,Villas de Santa Lucía,RS,- Inexistente -,
450,"Cerrito, El (de Nextipac)",RS,- Inexistente -,
451,Cerca Morada,RS,- Inexistente -,
452,Misión La Floresta,,- Inexistente -,
453,Rinconada del Parque,,- Inexistente -,
454,Colinas del Río,3,Inexistente,
455,Villa Hermosa,RS,- Inexistente -,
456,"Ángeles de Nextipac, Los",RS,- Inexistente -,
457,San Rafael (poblado),RN,- Inexistente -,
458,"Cohetero, El (poblado)",,- Inexistente -,
459,"Quemado, El (poblado)",RN,- Inexistente -,
460,Villas del Valle,3,- Inexistente -,
461,Campo Real,3,- Inexistente -,
462,Bosque Valdepeñas,3,- Inexistente -,
463,Hacienda del Sol,3,- Inexistente -,
464,Valdepeñas II,3,- Inexistente -,
465,Punta Valdepeñas,3,- Inexistente -,
466,Real Valdepeñas,3,- Inexistente -,
467,Real de Tesistán,,- Inexistente -,
468,Altus Quintas,0,- Inexistente -,
469,Colonos de Tesistán,,- Inexistente -,
470,Real Casablanca,,- Inexistente -,
471,Jardines de las Fuentes,45200,- Inexistente -,
472,Molinos,,- Inexistente -,
473,Extramuro,,- Inexistente -,
474,Parques Tepeyac,0,"Inexistente
",
475,Quinta del bosque,,Inexistente,
476,Crucero de Ameca,Zona Rural,Inexistente,
477,Miramar Poniente,,Inexistente,
478,"Fortín II, El",7,Inexistente,
479,Villas del Ixtépete,8,Inexistente,
480,Nuevo México Sur,4,Inexistente,
481,Anexo a Jardines del Vergel,2A,Inexistente,
482,Lomas Campestres Las Mesitas,RS,Inexistente,
483,Mirador de San Isidro Magisterial,3,Inexistente,
484,Residencial del Parque Metropolitano,5A,Inexistente,
485,Lomas del Pedregal,RN,Inexistente,
486,Ampliación Villas de Guadalupe,2B,Inexistente,
487,Granjas y Huertos San José,,Inexistente,
488,Villas de Monticello,,Inexistente,
489,"Pedregal (de Milpillas), El",,Inexistente,
490,"Taray, El",,Inexistente,
491,Cabañas de la Barranca,,Inexistente,
492,Kilómetro 10 (carr. a Colotlán),,Inexistente,
493,Prados de Nextipac,,Inexistente,
494,"Soledad de afuera, La",,Inexistente,
495,Canteras del Centinela,,Inexistente,
496,Parques del Centinela Residencial,,Inexistente,
497,San Isidro Residencial,,Inexistente,
498,Quintas del Valle,,Inexistente,
499,Misión del Valle,,Inexistente,
500,"Mandarinos, Los",,Inexistente,
501,Viveros del Valle,,Inexistente,
502,Rinconadas del Aire,,Inexistente,
503,Flores del Valle,,Inexistente,
504,Villas Muro Vekio,,Inexistente,
505,Puerta la Plata,,Inexistente,
506,Jardines de los Pinos,,Inexistente,
507,Portales de Santa Ana,,Inexistente,
508,Villas Perisur,,Inexistente,
509,Villa Bonita,,Inexistente,
510,Jardines del Álamo,RS,Inexistente,
511,San Gerónimo,RS,Inexistente,
512,Villas del Centinela,,Inexistente,
513,Unidad Habitacional Los Belenes,,Inexistente,
514,Senderos del Centinela,,Inexistente,
515,Rinconada de los Sauces,,Inexistente,
516,Valle de los Sauces (ó Rinconada San Isidro),,Inexistente,
517,Haciendas la Herradura,,Inexistente,
518,Valle de Nuevo México,3,Inexistente,
519,Bosque de los Encinos,3,Inesistente,
520,Bosques de San Gonzalo,3,Inexistente,
521,Porta Real,,Inexistente,
522,Solares,,Inexistente,
523,Altamira (Coto Privado),,Inexistente,
524,Santa Catalina Hábitat Residencial,,Inexistente,
525,Puerta del Llano,,Inexistente,
526,Arauca,,Inexistente,
527,Zapote (Nuevo México),3,Inexistente,
528,"Tizate, El",7,Inexistente,
529,"Patios, Los",RN,Inexistente,
530,Bolsa del Rayo,RN,Inexistente,
531,"Cuchilla, La (ó Valle de la Providencia)",RN,Base Aerea,Sabado
531,"Cuchilla, La (ó Valle de la Providencia)",RN,Chori,domingo
532,San Rafael Tercero,RN,Inexistente,
533,"Tarjea, La",RN,Inexistente,
